lead_id,created_date,source,course_interest,city,total_calls,total_whatsapp_messages,total_emails,email_opened,whatsapp_replied,form_completion_percentage,response_time_hours,days_since_last_interaction,current_stage,days_in_inquiry_stage,days_in_engagement_stage,days_in_application_stage,days_in_verification_stage,counselor_id,converted,days_to_convert
LEAD00036,2025-12-11,website,MBA,Delhi,2,14,4,1,1,19,49.3,21,inquiry,2,15,4,6,C003,0,
LEAD00037,2024-09-17,facebook,B.Tech CS,Mumbai,2,0,0,0,0,46,37.7,22,inquiry,14,10,7,4,C009,0,
LEAD00038,2023-08-25,google_ads,M.Tech,Hyderabad,6,9,0,0,0,56,,19,application,4,2,2,0,C002,1,72
LEAD00039,2023-12-07,google_ads,MBA,Mumbai,7,8,0,0,0,32,49.8,5,application,7,9,9,4,C007,0,
LEAD00040,2025-10-07,facebook,MBA,Chennai,2,8,1,1,1,41,15.2,9,engagement,18,14,6,0,C006,0,
LEAD00041,2025-02-22,facebook,B.Com,Mumbai,6,7,1,0,1,70,60.0,14,application,7,8,2,3,C007,1,24
LEAD00042,2024-02-03,referral,M.Tech,Mumbai,4,7,4,0,1,60,24.7,23,admission,4,1,7,7,C003,1,54
LEAD00043,2025-12-15,walk_in,M.Tech,Bangalore,1,1,3,0,0,18,11.6,1,admission,4,4,2,7,C001,1,11
LEAD00044,2023-07-08,google_ads,BBA,Pune,7,5,2,0,1,27,11.1,4,application,3,5,3,6,C006,1,79
LEAD00045,2025-06-16,google_ads,BBA,Bangalore,2,4,2,1,1,30,29.9,10,inquiry,9,1,5,3,C005,0,
LEAD00046,2025-11-23,google_ads,B.Com,Delhi,3,8,3,0,0,49,,27,inquiry,7,1,9,3,C001,0,
LEAD00047,2024-05-02,facebook,M.Tech,Mumbai,1,4,2,1,1,3,26.6,21,inquiry,2,3,1,3,C007,0,
LEAD00048,2025-01-25,google_ads,B.Tech CS,Pune,3,10,1,1,0,62,,22,verification,1,10,0,2,C009,1,36
LEAD00049,2025-05-17,walk_in,B.Tech CS,Chennai,6,0,3,0,0,29,65.6,4,engagement,3,7,4,2,C004,0,
LEAD00050,2024-10-09,facebook,MBA,Pune,5,9,3,0,0,25,28.0,18,inquiry,16,12,1,7,C010,0,
LEAD00051,2025-11-17,referral,BBA,Chennai,4,5,1,1,0,54,52.9,28,verification,12,8,2,7,C001,1,18
LEAD00052,2025-06-13,google_ads,B.Tech CS,Delhi,1,3,2,1,1,0,56.4,28,inquiry,14,13,10,6,C004,0,
LEAD00053,2023-06-27,google_ads,BBA,Chennai,2,4,3,1,0,48,67.5,2,verification,16,13,7,3,C002,0,
LEAD00054,2023-10-15,facebook,BBA,Mumbai,2,2,0,0,0,0,,27,application,9,14,9,3,C001,0,
LEAD00055,2024-03-01,referral,M.Tech,Hyderabad,2,6,4,1,1,46,67.2,16,inquiry,20,4,5,5,C008,0,
LEAD00056,2024-11-25,website,B.Tech CS,Bangalore,5,4,2,1,0,42,64.5,18,application,10,11,8,7,C008,1,12
LEAD00057,2023-11-03,referral,B.Tech CS,Pune,0,3,1,0,1,0,65.0,15,enrollment,16,8,2,7,C004,1,73
LEAD00058,2025-08-06,website,B.Com,Hyderabad,6,3,2,1,1,76,17.2,7,inquiry,16,11,4,4,C007,0,
LEAD00059,2024-12-26,referral,MBA,Mumbai,6,6,1,0,0,51,40.0,8,application,19,6,1,2,C010,0,
LEAD00060,2024-03-18,referral,B.Tech CS,Mumbai,5,5,4,1,1,66,3.5,22,verification,20,14,0,7,C007,0,
LEAD00061,2024-05-17,facebook,B.Tech CS,Mumbai,0,0,0,0,0,47,56.2,4,engagement,8,14,4,2,C010,0,
LEAD00062,2025-10-03,facebook,MBA,Pune,1,8,5,1,0,64,,8,engagement,8,3,4,7,C006,0,
LEAD00063,2025-08-12,facebook,MBA,Bangalore,6,7,1,0,1,23,,19,inquiry,3,10,1,7,C009,1,52
LEAD00064,2023-02-01,walk_in,B.Tech CS,Hyderabad,3,4,0,0,0,5,50.1,30,verification,2,9,0,5,C008,1,71
LEAD00065,2025-09-22,google_ads,BBA,Delhi,3,8,1,0,1,33,,25,verification,16,5,5,5,C006,0,
LEAD00066,2025-09-28,walk_in,MBA,Chennai,2,4,1,0,0,27,51.6,19,application,16,3,9,6,C004,0,
LEAD00067,2024-11-24,walk_in,BBA,Mumbai,2,4,1,1,1,16,8.0,1,payment,10,4,3,5,C006,1,76
LEAD00068,2025-04-09,website,B.Tech CS,Chennai,3,4,0,0,0,69,52.9,10,inquiry,15,7,0,5,C005,0,
LEAD00069,2025-11-23,google_ads,MBA,Bangalore,0,6,3,1,1,39,46.6,29,engagement,7,11,4,2,C002,0,
LEAD00070,2023-07-10,referral,B.Tech CS,Hyderabad,5,2,0,0,0,51,,11,admission,13,5,5,4,C004,1,86
LEAD00071,2023-08-19,referral,MBA,Bangalore,6,8,3,0,0,27,39.2,26,admission,14,10,1,5,C007,1,55
LEAD00072,2023-09-20,google_ads,B.Tech CS,Mumbai,4,5,4,0,0,15,29.9,6,inquiry,15,4,6,4,C006,0,
LEAD00073,2023-01-08,referral,B.Tech CS,Hyderabad,2,10,2,1,0,6,19.2,1,inquiry,9,5,4,5,C002,0,
LEAD00074,2024-08-28,walk_in,B.Tech CS,Delhi,5,6,2,0,1,43,32.9,9,admission,11,10,8,5,C005,1,49
LEAD00075,2025-05-23,referral,B.Tech CS,Mumbai,0,3,1,0,0,0,25.7,5,inquiry,15,12,9,4,C004,0,
LEAD00076,2024-12-07,website,BBA,Delhi,2,4,0,0,0,19,4.2,24,verification,13,4,1,2,C003,1,17
LEAD00077,2024-09-19,walk_in,B.Tech CS,Chennai,6,7,1,0,0,48,,13,admission,1,6,6,4,C006,1,33
LEAD00078,2024-02-18,facebook,B.Tech CS,Mumbai,3,0,3,0,0,13,28.7,5,engagement,7,15,1,6,C001,0,
LEAD00079,2024-10-18,walk_in,BBA,Hyderabad,2,13,0,0,1,83,,4,application,8,9,6,7,C002,1,21
LEAD00080,2025-06-25,referral,BBA,Hyderabad,7,10,3,1,1,55,32.6,2,enrollment,13,12,10,1,C009,1,15
LEAD00081,2025-02-08,walk_in,MBA,Mumbai,3,4,2,0,1,0,37.4,0,inquiry,2,4,6,3,C002,0,
LEAD00082,2024-11-23,referral,B.Tech CS,Pune,9,5,2,0,1,63,,0,enrollment,12,2,5,2,C002,1,62
LEAD00083,2024-04-24,walk_in,MBA,Mumbai,0,0,3,0,0,28,11.0,28,application,13,1,10,7,C005,1,32
LEAD00084,2025-07-11,google_ads,MBA,Chennai,0,5,0,0,0,33,,22,engagement,0,10,8,5,C002,0,
LEAD00085,2023-01-04,walk_in,B.Com,Pune,0,2,0,0,0,0,,30,application,4,12,7,6,C001,0,
LEAD00086,2024-08-03,website,B.Com,Delhi,2,5,1,0,1,9,,23,application,11,10,10,4,C003,0,
LEAD00087,2025-05-23,google_ads,B.Com,Chennai,7,9,3,0,0,52,20.8,22,engagement,12,1,8,4,C010,1,47
LEAD00088,2023-01-03,facebook,B.Com,Hyderabad,3,9,3,0,0,91,,11,enrollment,12,9,3,5,C007,1,41
LEAD00089,2023-01-04,google_ads,M.Tech,Delhi,4,12,3,1,0,20,15.0,11,inquiry,19,3,3,3,C007,0,
LEAD00090,2024-10-10,referral,B.Com,Mumbai,2,6,0,0,1,32,,28,inquiry,9,14,10,2,C002,0,
LEAD00091,2025-01-15,referral,B.Tech CS,Pune,3,3,0,0,0,12,57.2,15,inquiry,7,10,4,6,C003,1,50
LEAD00092,2023-06-25,walk_in,B.Tech CS,Delhi,2,2,0,0,0,7,49.7,12,inquiry,12,5,3,6,C002,0,
LEAD00093,2025-02-02,walk_in,MBA,Mumbai,3,4,2,1,0,56,49.6,18,enrollment,1,11,7,0,C008,1,8
LEAD00094,2025-08-16,google_ads,B.Tech CS,Pune,0,0,0,0,0,3,19.6,7,inquiry,19,1,3,2,C004,0,
LEAD00095,2025-01-14,google_ads,MBA,Delhi,0,1,2,0,1,52,40.1,8,application,12,14,8,7,C009,1,88
LEAD00096,2023-02-24,referral,B.Com,Chennai,2,0,0,0,0,0,57.6,6,engagement,8,8,9,2,C001,1,21
LEAD00097,2023-06-16,website,MBA,Delhi,0,0,0,0,0,12,,19,engagement,18,0,5,4,C001,0,
LEAD00098,2023-07-20,walk_in,B.Tech CS,Hyderabad,2,9,1,1,1,43,59.7,16,admission,6,7,1,2,C005,1,12
LEAD00099,2025-05-03,google_ads,MBA,Bangalore,4,8,1,0,0,36,11.0,17,engagement,4,13,6,2,C010,0,
LEAD00100,2025-04-09,website,B.Com,Pune,1,0,0,0,0,55,51.0,20,inquiry,20,1,2,0,C001,0,
LEAD00101,2023-11-02,google_ads,B.Tech CS,Mumbai,5,4,2,0,1,59,17.6,12,admission,19,0,7,5,C004,1,23
LEAD00102,2023-09-23,referral,M.Tech,Bangalore,4,9,3,1,1,48,51.6,27,payment,12,6,5,5,C007,1,7
LEAD00103,2023-08-07,google_ads,B.Tech CS,Delhi,2,5,0,0,0,29,64.9,12,engagement,0,11,6,4,C007,0,
LEAD00104,2025-03-17,facebook,MBA,Delhi,8,8,1,1,1,7,55.9,24,inquiry,7,15,7,4,C008,0,
LEAD00105,2025-01-28,facebook,B.Tech CS,Pune,0,6,2,1,0,48,,0,engagement,7,8,5,3,C003,1,24
LEAD00106,2023-06-08,referral,MBA,Chennai,2,0,2,1,0,42,25.6,2,engagement,9,9,0,4,C005,0,
LEAD00107,2025-10-25,website,B.Com,Delhi,2,2,1,1,0,0,,22,inquiry,11,2,1,5,C006,0,
LEAD00108,2024-07-21,website,B.Com,Bangalore,2,0,1,1,0,13,,9,engagement,14,9,3,3,C004,0,
LEAD00109,2024-04-24,facebook,B.Tech CS,Bangalore,0,0,1,0,0,42,3.8,24,application,14,8,5,4,C009,0,
LEAD00110,2024-06-02,facebook,B.Tech CS,Chennai,3,0,0,0,0,11,16.2,10,application,15,1,7,4,C008,0,
LEAD00111,2025-10-01,referral,MBA,Hyderabad,3,3,0,0,1,15,66.0,30,verification,20,0,4,4,C010,1,54
LEAD00112,2024-12-04,facebook,B.Com,Delhi,3,0,2,1,0,70,,1,application,4,11,0,5,C003,0,
LEAD00113,2023-06-23,facebook,M.Tech,Mumbai,5,2,2,1,0,37,35.2,21,inquiry,19,5,3,5,C007,0,
LEAD00114,2024-05-03,walk_in,B.Tech CS,Delhi,6,5,0,0,0,64,42.5,24,engagement,5,15,4,4,C010,0,
LEAD00115,2023-04-11,google_ads,B.Com,Hyderabad,1,0,0,0,0,16,35.1,7,engagement,13,8,8,1,C008,0,
LEAD00116,2024-05-27,google_ads,B.Tech CS,Mumbai,1,4,2,1,0,22,68.9,14,application,6,4,7,7,C005,1,65
LEAD00117,2023-01-26,google_ads,B.Tech CS,Bangalore,6,5,1,0,0,46,,19,payment,12,13,2,7,C008,1,21
LEAD00118,2024-06-18,referral,B.Tech CS,Bangalore,3,5,2,0,0,24,35.1,10,admission,6,12,6,4,C004,1,44
LEAD00119,2023-08-20,google_ads,MBA,Bangalore,8,14,2,1,0,93,66.2,4,enrollment,11,1,2,2,C004,1,77
LEAD00120,2023-07-19,google_ads,M.Tech,Bangalore,0,4,0,0,0,24,40.3,21,inquiry,19,6,10,0,C010,0,
LEAD00121,2023-04-22,referral,B.Tech CS,Mumbai,4,6,0,0,0,40,,8,admission,8,12,9,2,C002,1,37
LEAD00122,2023-01-08,google_ads,M.Tech,Pune,3,7,1,0,0,20,,30,inquiry,17,2,2,5,C001,0,
LEAD00123,2024-02-22,walk_in,B.Tech CS,Pune,3,0,2,0,0,15,7.4,12,inquiry,4,13,5,3,C010,0,
LEAD00124,2024-07-06,google_ads,MBA,Bangalore,5,9,0,0,1,7,9.0,17,admission,2,1,3,2,C010,1,28
LEAD00125,2023-01-21,google_ads,BBA,Chennai,1,2,3,0,1,30,34.7,17,verification,10,11,8,4,C010,0,
LEAD00126,2025-05-26,google_ads,B.Com,Hyderabad,7,6,1,0,1,67,45.1,12,inquiry,19,9,3,7,C008,0,
LEAD00127,2023-05-01,walk_in,B.Tech CS,Pune,1,1,2,1,0,29,3.1,24,verification,2,7,0,7,C009,0,
LEAD00128,2025-03-17,facebook,BBA,Bangalore,1,2,2,0,1,69,,0,engagement,16,7,0,1,C007,0,
LEAD00129,2023-06-12,google_ads,MBA,Chennai,8,7,4,0,1,37,60.2,12,payment,1,0,4,1,C005,1,11
LEAD00130,2024-05-27,website,MBA,Pune,3,0,2,0,0,40,54.6,22,verification,9,0,8,5,C009,0,
LEAD00131,2024-02-05,google_ads,B.Tech CS,Delhi,2,0,3,1,0,10,,16,payment,11,2,8,3,C002,1,38
LEAD00132,2024-06-04,google_ads,M.Tech,Hyderabad,3,5,0,0,1,43,19.1,22,inquiry,19,2,3,3,C006,0,
LEAD00133,2024-03-05,facebook,BBA,Bangalore,5,10,4,0,1,60,,17,admission,3,10,6,5,C003,1,19
LEAD00134,2025-05-04,facebook,MBA,Pune,6,1,2,1,1,49,37.4,10,admission,6,9,1,7,C003,1,81
LEAD00135,2025-08-05,facebook,B.Com,Chennai,2,13,3,0,1,53,20.2,3,inquiry,5,1,8,1,C004,0,
LEAD00136,2024-12-27,referral,MBA,Bangalore,1,1,0,0,1,41,,18,payment,7,8,6,5,C007,1,79
LEAD00137,2023-11-01,website,B.Tech CS,Pune,5,2,0,0,0,35,68.3,19,inquiry,2,5,2,0,C010,0,
LEAD00138,2023-06-18,facebook,B.Tech CS,Bangalore,3,4,3,0,1,16,,24,verification,2,4,2,3,C010,0,
LEAD00139,2025-09-11,google_ads,BBA,Pune,7,11,4,1,0,64,0.7,12,inquiry,17,1,2,3,C004,0,
LEAD00140,2024-01-17,facebook,B.Tech CS,Delhi,2,2,2,1,1,22,,25,engagement,0,3,7,4,C008,0,
LEAD00141,2024-07-21,google_ads,B.Com,Chennai,0,3,3,1,0,13,24.4,4,engagement,17,12,4,4,C008,0,
LEAD00142,2024-08-27,referral,MBA,Mumbai,0,5,0,0,0,3,42.7,28,inquiry,11,15,0,7,C004,0,
LEAD00143,2025-09-18,google_ads,MBA,Hyderabad,2,5,0,0,0,46,65.2,22,engagement,0,14,0,1,C008,0,
LEAD00144,2025-07-25,google_ads,B.Tech CS,Hyderabad,1,1,1,1,0,4,70.2,11,inquiry,2,5,10,2,C005,0,
LEAD00145,2025-03-18,walk_in,BBA,Pune,0,8,2,0,1,57,,23,application,17,6,8,2,C007,0,
LEAD00146,2024-02-01,google_ads,B.Tech CS,Mumbai,4,10,2,0,0,23,2.2,19,inquiry,14,3,7,7,C009,0,
LEAD00147,2023-12-21,referral,B.Tech CS,Chennai,2,7,2,0,0,0,,8,engagement,7,11,6,3,C004,0,
LEAD00148,2024-07-22,facebook,MBA,Pune,1,4,0,0,0,13,0.7,16,application,3,10,4,5,C010,1,65
LEAD00149,2023-12-05,website,BBA,Bangalore,6,1,1,1,1,31,1.7,28,application,11,4,2,0,C007,1,28
LEAD00150,2023-04-13,facebook,MBA,Mumbai,0,0,2,0,0,0,49.2,25,inquiry,15,1,3,4,C001,0,
LEAD00151,2024-06-02,facebook,B.Tech CS,Hyderabad,1,3,1,0,0,50,12.8,28,inquiry,9,4,0,6,C008,0,
LEAD00152,2025-08-01,referral,MBA,Chennai,2,2,1,0,1,20,18.8,23,admission,12,2,5,3,C010,1,25
LEAD00153,2023-08-28,walk_in,MBA,Delhi,3,4,1,1,0,0,3.6,22,engagement,5,4,2,7,C006,0,
LEAD00154,2025-11-19,referral,MBA,Mumbai,4,8,2,1,0,48,,28,application,19,5,3,2,C003,0,
LEAD00155,2024-09-07,referral,B.Tech CS,Chennai,0,4,0,0,0,0,2.6,0,inquiry,10,11,0,1,C010,0,
LEAD00156,2024-09-27,google_ads,B.Com,Hyderabad,3,1,2,1,1,0,,13,payment,11,4,2,7,C004,1,74
LEAD00157,2024-12-14,facebook,B.Tech CS,Pune,4,4,0,0,0,64,62.9,15,inquiry,1,13,5,2,C001,0,
LEAD00158,2023-03-13,walk_in,MBA,Delhi,3,9,2,0,1,70,53.5,18,payment,1,10,8,2,C005,1,48
LEAD00159,2025-07-08,facebook,B.Tech CS,Chennai,3,7,2,1,1,36,57.1,17,admission,7,11,1,7,C007,1,7
LEAD00160,2024-11-17,walk_in,M.Tech,Pune,0,1,3,1,0,35,1.8,16,application,13,12,2,6,C003,1,21
LEAD00161,2023-02-26,google_ads,B.Tech CS,Hyderabad,4,5,2,1,1,50,,26,admission,3,1,3,2,C002,1,56
LEAD00162,2023-06-11,facebook,B.Tech CS,Pune,0,11,2,1,1,20,,24,inquiry,6,4,0,1,C007,0,
LEAD00163,2023-02-18,walk_in,B.Tech CS,Hyderabad,6,5,3,0,0,41,,10,engagement,18,15,1,2,C009,0,
LEAD00164,2025-02-20,website,MBA,Bangalore,4,13,0,0,0,41,5.3,4,inquiry,5,9,4,7,C006,0,
LEAD00165,2024-10-28,walk_in,MBA,Bangalore,2,0,2,0,0,8,66.8,30,engagement,3,15,2,3,C002,0,
LEAD00166,2024-10-06,facebook,B.Tech CS,Bangalore,4,8,0,0,1,17,40.5,17,inquiry,2,15,0,6,C003,0,
LEAD00167,2025-08-21,referral,B.Tech CS,Bangalore,8,13,4,0,1,100,66.3,28,verification,5,12,1,2,C005,1,59
LEAD00168,2023-07-25,walk_in,B.Com,Bangalore,3,8,6,0,0,53,12.7,28,admission,4,1,5,6,C009,1,85
LEAD00169,2024-07-10,referral,B.Tech CS,Chennai,1,4,2,0,1,61,,25,admission,8,7,8,1,C002,1,53
LEAD00170,2023-07-18,google_ads,B.Com,Bangalore,3,8,2,0,0,42,48.1,6,enrollment,10,3,10,3,C007,1,12
LEAD00171,2023-01-16,referral,BBA,Mumbai,2,4,2,0,0,54,3.8,9,verification,16,0,6,2,C003,0,
LEAD00172,2025-03-02,referral,B.Tech CS,Mumbai,3,1,0,0,0,0,35.8,15,verification,16,15,2,0,C006,0,
LEAD00173,2024-06-27,website,M.Tech,Pune,7,15,4,1,1,90,59.4,26,payment,13,6,4,3,C007,1,86
LEAD00174,2023-03-28,google_ads,B.Tech CS,Chennai,0,0,0,0,0,6,0.6,20,payment,10,0,7,6,C007,1,38
LEAD00175,2024-03-20,referral,BBA,Bangalore,6,8,3,0,1,50,,14,payment,6,4,10,2,C004,1,67
LEAD00176,2023-05-19,google_ads,MBA,Mumbai,3,5,2,0,0,55,27.2,26,inquiry,10,3,3,5,C008,0,
LEAD00177,2023-07-26,google_ads,B.Com,Hyderabad,7,4,4,1,0,48,,23,engagement,9,8,0,4,C002,0,
LEAD00178,2024-06-09,referral,MBA,Chennai,1,0,1,0,0,0,17.7,15,application,18,7,5,0,C007,0,
LEAD00179,2025-05-09,referral,B.Tech CS,Hyderabad,6,5,2,1,0,54,37.1,7,verification,18,4,5,7,C010,0,
LEAD00180,2023-03-20,referral,B.Tech CS,Bangalore,5,12,4,1,1,56,43.6,6,inquiry,11,15,9,4,C003,0,
LEAD00181,2024-11-26,walk_in,B.Com,Delhi,2,4,2,0,0,35,25.8,14,application,11,13,7,0,C007,1,22
LEAD00182,2025-06-09,facebook,B.Com,Delhi,0,1,0,0,0,3,53.2,2,inquiry,13,0,1,4,C001,0,
LEAD00183,2023-05-21,google_ads,MBA,Bangalore,2,5,2,1,0,53,44.3,27,verification,6,14,0,4,C006,0,
LEAD00184,2025-02-07,google_ads,B.Com,Mumbai,3,4,3,1,0,3,28.5,16,inquiry,16,10,5,7,C007,0,
LEAD00185,2023-06-25,website,B.Com,Hyderabad,3,2,1,0,0,74,41.9,10,verification,19,10,6,7,C002,0,
LEAD00186,2023-05-07,referral,MBA,Bangalore,0,1,1,0,1,34,12.5,27,application,16,8,1,3,C005,0,
LEAD00187,2024-07-26,google_ads,B.Tech CS,Hyderabad,2,8,0,0,0,42,40.5,24,inquiry,3,6,9,1,C008,1,7
LEAD00188,2024-07-25,facebook,B.Tech CS,Chennai,8,7,3,1,0,84,,22,payment,10,5,0,0,C010,1,75
LEAD00189,2024-06-17,facebook,MBA,Delhi,5,2,1,1,1,40,32.9,3,application,19,3,0,1,C009,0,
LEAD00190,2024-05-05,facebook,B.Tech CS,Mumbai,5,6,3,0,0,63,42.2,2,verification,0,7,4,7,C002,1,16
LEAD00191,2024-05-26,referral,MBA,Delhi,1,6,2,1,0,0,56.7,18,verification,15,2,0,6,C009,0,
LEAD00192,2025-08-03,google_ads,BBA,Bangalore,2,0,1,1,0,17,,5,verification,18,10,2,0,C002,0,
LEAD00193,2025-04-02,walk_in,B.Tech CS,Pune,7,6,2,0,1,36,,20,application,20,10,6,5,C003,0,
LEAD00194,2023-11-20,facebook,MBA,Mumbai,3,3,2,1,1,47,,17,engagement,17,5,9,2,C009,1,11
LEAD00195,2025-04-26,google_ads,BBA,Mumbai,4,7,4,0,1,40,5.7,14,verification,11,14,5,2,C001,1,73
LEAD00196,2024-02-17,google_ads,B.Tech CS,Bangalore,4,9,4,0,1,50,57.0,3,verification,6,13,7,0,C006,1,20
LEAD00197,2023-06-24,facebook,B.Com,Mumbai,1,5,1,1,0,17,13.7,7,inquiry,13,8,6,1,C007,0,
LEAD00198,2025-01-12,facebook,M.Tech,Hyderabad,4,3,3,0,0,43,,21,inquiry,5,3,0,6,C002,0,
LEAD00199,2023-12-18,facebook,BBA,Hyderabad,0,3,2,0,0,39,8.9,2,verification,8,7,9,1,C007,0,
LEAD00200,2024-09-19,facebook,B.Com,Delhi,6,6,2,1,0,48,15.8,5,verification,17,12,8,5,C007,0,
LEAD00201,2024-01-16,website,MBA,Hyderabad,1,0,0,0,0,0,39.5,9,inquiry,15,6,10,2,C006,0,
LEAD00202,2025-10-23,referral,BBA,Bangalore,3,3,1,1,0,46,,16,admission,5,10,1,1,C008,1,58
LEAD00203,2024-10-26,google_ads,MBA,Bangalore,9,8,0,0,1,52,44.3,23,enrollment,17,13,0,2,C003,1,31
LEAD00204,2023-07-22,google_ads,B.Tech CS,Hyderabad,4,5,0,0,1,8,43.9,14,inquiry,13,15,5,5,C004,0,
LEAD00205,2024-07-21,facebook,BBA,Bangalore,6,1,4,0,0,53,12.6,6,payment,20,9,1,7,C008,1,55
LEAD00206,2024-05-17,google_ads,B.Tech CS,Mumbai,0,6,2,1,0,63,,22,verification,5,1,1,5,C002,0,
LEAD00207,2025-02-14,facebook,MBA,Mumbai,5,6,3,1,1,46,15.1,21,engagement,7,12,4,6,C004,0,
LEAD00208,2023-12-24,facebook,B.Tech CS,Mumbai,3,8,3,0,1,63,37.8,10,verification,1,11,2,6,C007,1,45
LEAD00209,2023-04-10,google_ads,MBA,Hyderabad,0,3,2,0,0,6,,21,application,8,13,5,2,C005,0,
LEAD00210,2024-10-19,facebook,BBA,Bangalore,7,3,1,0,0,28,9.5,26,payment,1,8,0,6,C003,1,12
LEAD00211,2025-03-23,referral,B.Tech CS,Mumbai,10,4,2,1,1,91,31.4,10,application,5,8,2,3,C001,1,21
LEAD00212,2023-10-08,website,B.Tech CS,Pune,1,0,0,0,0,27,61.3,1,verification,2,5,1,2,C001,0,
