total_calls,total_whatsapp_messages,total_emails,email_opened,whatsapp_replied,form_completion_percentage,response_time_hours,days_since_last_interaction,days_in_inquiry_stage,days_in_engagement_stage,days_in_application_stage,days_in_verification_stage,engagement_score,is_fast_responder,stage_numeric,total_stage_days,source_quality_score,has_high_form_completion,converted
5,2,1,0,0,18,25.7,7,5,9,10,2,2.6666666666666665,0,6,26,4,0,1
1,1,0,0,1,42,2.9,11,5,6,7,0,0.6666666666666666,1,2,18,5,0,0
1,6,1,0,0,49,66.8,9,15,5,3,3,2.6666666666666665,0,2,26,3,0,0
3,3,1,0,1,42,,13,7,7,10,3,2.3333333333333335,0,6,27,4,0,1
6,8,3,1,1,72,49.8,1,2,10,4,6,5.666666666666667,0,2,22,4,1,1
5,8,3,0,0,53,,15,0,14,4,3,5.333333333333333,0,1,21,1,0,0
0,3,2,1,0,31,65.3,10,5,8,1,0,1.6666666666666667,0,2,14,5,0,1
3,3,2,0,1,0,9.3,2,15,5,3,4,2.6666666666666665,0,2,27,4,0,0
2,0,1,0,0,20,,9,5,11,4,3,1.0,0,1,23,1,0,0
0,1,3,0,1,15,29.1,30,8,0,9,3,1.3333333333333333,0,3,20,1,0,1
3,2,0,0,1,9,59.2,24,2,14,6,6,1.6666666666666667,0,1,28,5,0,0
3,7,3,0,0,29,,29,19,4,4,1,4.333333333333333,0,1,28,3,0,0
6,10,4,1,0,51,,29,16,15,8,5,6.666666666666667,0,3,44,1,0,1
0,3,1,0,0,0,39.2,16,13,4,6,5,1.3333333333333333,0,1,28,1,0,0
0,1,0,0,0,0,4.1,9,10,2,0,2,0.3333333333333333,1,2,14,1,0,1
3,5,2,1,1,36,,5,13,1,5,2,3.3333333333333335,0,1,21,3,0,0
5,2,1,0,0,0,29.8,7,18,0,10,7,2.6666666666666665,0,2,35,5,0,0
0,7,1,0,0,31,5.4,17,17,0,8,5,2.6666666666666665,0,1,30,2,0,0
0,4,0,0,0,44,59.7,1,4,8,1,3,1.3333333333333333,0,7,16,5,0,1
7,7,2,0,0,27,27.0,24,13,2,1,2,5.333333333333333,0,7,18,2,0,1
0,5,2,1,0,36,,19,6,3,2,0,2.3333333333333335,0,4,11,5,0,1
0,3,1,1,0,13,65.6,30,20,10,10,0,1.3333333333333333,0,1,40,2,0,0
6,9,4,0,1,48,,2,19,5,9,3,6.333333333333333,0,2,36,5,0,1
5,2,3,1,0,33,26.5,22,4,6,9,0,3.3333333333333335,0,5,19,3,0,1
2,8,1,0,1,50,12.6,24,0,6,7,2,3.6666666666666665,0,5,15,4,0,1
4,1,1,1,0,26,10.8,0,6,9,4,7,2.0,0,2,26,3,0,0
4,10,3,0,0,84,60.1,6,19,10,5,5,5.666666666666667,0,5,39,1,1,1
4,2,2,1,1,65,2.8,15,2,3,6,1,2.6666666666666665,1,7,12,1,0,1
0,8,1,1,0,47,17.6,13,8,9,3,0,3.0,0,2,20,3,0,1
6,11,1,0,1,54,16.5,4,4,8,2,6,6.0,0,6,20,4,0,1
2,5,0,0,1,15,,7,0,8,0,7,2.3333333333333335,0,4,15,4,0,1
3,4,3,1,0,24,31.3,6,16,11,10,3,3.3333333333333335,0,2,40,3,0,0
4,7,2,1,1,66,62.5,17,7,6,6,5,4.333333333333333,0,2,24,4,0,0
5,7,3,1,1,58,43.2,16,6,11,0,7,5.0,0,6,24,3,0,1
0,3,1,1,0,39,48.6,1,11,11,2,0,1.3333333333333333,0,3,24,5,0,1
2,0,1,0,0,1,68.9,15,2,9,10,3,1.0,0,3,24,3,0,1
1,8,1,1,0,41,55.9,8,16,6,9,3,3.3333333333333335,0,2,34,3,0,0
2,9,4,1,0,24,,30,6,6,10,1,5.0,0,2,23,5,0,0
6,6,1,0,0,33,60.4,17,17,10,4,2,4.333333333333333,0,1,33,1,0,0
2,6,2,0,1,47,,22,8,9,5,7,3.3333333333333335,0,6,29,1,0,1
1,4,1,0,0,94,,19,13,13,2,7,2.0,0,5,35,2,1,1
1,1,0,0,0,0,,21,11,11,6,7,0.6666666666666666,0,1,35,3,0,0
4,0,0,0,0,59,21.1,3,2,5,4,4,1.3333333333333333,0,2,15,1,0,0
9,9,2,1,1,75,32.6,17,9,8,3,0,6.666666666666667,0,6,20,1,1,1
3,0,0,0,0,0,,30,12,15,2,0,1.0,0,3,29,4,0,0
7,1,2,0,1,42,,2,3,8,3,4,3.3333333333333335,0,6,18,1,0,1
1,5,3,0,1,9,8.0,6,0,9,6,0,3.0,0,1,15,3,0,0
2,10,0,0,1,17,56.5,16,17,1,7,2,4.0,0,1,27,5,0,0
0,5,3,1,1,41,44.8,18,5,7,3,0,2.6666666666666665,0,2,15,1,0,0
4,2,0,0,0,10,35.7,14,0,13,3,7,2.0,0,4,23,1,0,1
4,8,4,1,0,40,,21,11,11,0,4,5.333333333333333,0,1,26,3,0,0
4,0,3,1,0,17,,3,14,1,4,3,2.3333333333333335,0,1,22,1,0,0
3,5,2,0,0,14,,16,7,10,3,0,3.3333333333333335,0,1,20,4,0,0
1,7,2,0,0,8,38.7,6,1,15,3,4,3.3333333333333335,0,2,23,3,0,0
6,4,2,0,0,15,,21,6,12,9,1,4.0,0,4,28,1,0,1
1,1,0,0,1,8,,9,20,13,10,7,0.6666666666666666,0,1,50,2,0,0
3,3,1,0,1,18,13.6,25,11,13,5,1,2.3333333333333335,0,4,30,2,0,0
6,6,1,0,1,40,61.8,15,6,7,1,4,4.333333333333333,0,3,18,2,0,1
1,6,2,1,0,56,,18,5,0,1,5,3.0,0,2,11,1,0,0
6,7,3,1,0,47,,21,6,13,9,6,5.333333333333333,0,3,34,3,0,1
4,10,4,1,0,29,45.5,21,2,7,10,2,6.0,0,3,21,2,0,1
3,0,2,1,0,41,8.6,20,3,11,5,1,1.6666666666666667,0,5,20,1,0,1
0,3,0,0,0,13,,2,20,10,7,4,1.0,0,4,41,4,0,0
4,0,2,0,0,16,52.0,26,3,14,0,5,2.0,0,1,22,4,0,0
5,10,2,1,1,51,70.7,16,0,10,8,5,5.666666666666667,0,5,23,3,0,1
4,6,2,1,0,28,55.7,7,2,1,8,6,4.0,0,3,17,4,0,1
5,5,2,1,1,54,66.8,6,13,5,7,2,4.0,0,3,27,2,0,0
1,8,0,0,1,24,,1,19,11,5,6,3.0,0,4,41,3,0,0
0,2,2,0,1,4,65.2,21,9,6,5,4,1.3333333333333333,0,2,24,1,0,0
0,1,0,0,0,3,,0,2,4,2,4,0.3333333333333333,0,2,12,5,0,0
4,3,2,0,0,44,13.1,7,2,11,5,4,3.0,0,1,22,4,0,1
7,4,2,0,1,39,66.0,14,7,12,7,4,4.333333333333333,0,4,30,4,0,1
5,8,2,0,0,23,29.5,13,2,12,2,0,5.0,0,2,16,3,0,0
3,5,2,0,0,72,56.7,18,1,9,2,0,3.3333333333333335,0,1,12,5,1,0
4,12,0,0,1,33,,10,5,2,6,1,5.333333333333333,0,2,14,2,0,0
3,8,1,1,0,25,16.8,28,20,6,8,5,4.0,0,3,39,1,0,0
7,13,1,0,1,49,55.0,14,11,6,10,7,7.0,0,2,34,3,0,1
2,2,2,1,1,32,14.1,12,5,15,9,3,2.0,0,2,32,1,0,0
0,0,0,0,0,25,24.0,12,16,12,6,0,0.0,0,1,34,2,0,0
5,8,0,0,0,34,9.5,25,13,4,7,1,4.333333333333333,0,3,25,3,0,0
6,6,4,1,0,74,4.0,29,3,12,10,1,5.333333333333333,1,5,26,4,1,1
2,0,0,0,0,10,31.1,7,18,14,4,2,0.6666666666666666,0,3,38,5,0,0
3,1,2,0,1,56,37.2,30,0,3,5,6,2.0,0,4,14,4,0,1
5,7,5,1,1,62,64.9,14,5,10,10,5,5.666666666666667,0,3,30,3,0,0
4,6,4,1,1,69,42.7,27,8,6,4,5,4.666666666666667,0,1,23,5,0,1
4,8,1,0,1,33,6.1,22,6,6,9,6,4.333333333333333,0,3,27,3,0,0
0,2,1,0,0,14,59.3,19,19,1,7,0,1.0,0,3,27,5,0,0
0,3,2,0,1,29,,17,0,12,0,7,1.6666666666666667,0,3,19,1,0,1
3,0,0,0,0,46,16.7,24,19,1,5,0,1.0,0,2,25,5,0,0
6,8,0,0,0,32,15.9,21,6,6,10,4,4.666666666666667,0,1,26,2,0,0
4,1,1,0,1,11,14.0,16,19,9,8,5,2.0,0,1,41,2,0,0
2,4,3,0,1,88,,0,18,3,8,6,3.0,0,2,35,5,1,0
3,9,3,0,0,91,,11,12,9,3,5,5.0,0,7,29,1,1,1
2,2,0,0,0,0,,4,10,4,10,7,1.3333333333333333,0,4,31,5,0,1
3,3,2,1,0,52,,30,20,8,1,0,2.6666666666666665,0,2,29,3,0,0
7,8,1,0,0,58,16.8,1,4,4,5,6,5.333333333333333,0,6,19,5,0,1
3,2,1,0,0,31,24.1,9,17,4,10,4,2.0,0,2,35,1,0,0
1,0,1,0,0,13,23.9,17,6,4,1,0,0.6666666666666666,0,1,11,1,0,0
7,15,0,0,0,58,59.6,12,4,7,1,6,7.333333333333333,0,2,18,1,0,0
8,5,5,0,1,68,11.5,13,13,10,7,3,6.0,0,3,33,1,0,1
3,4,1,1,1,5,49.1,8,19,13,5,4,2.6666666666666665,0,2,41,1,0,0
6,5,3,0,0,50,,8,1,11,6,5,4.666666666666667,0,2,23,2,0,0
3,5,4,0,0,14,35.7,20,6,15,2,4,4.0,0,7,27,2,0,1
0,0,2,0,0,0,29.5,5,11,12,8,1,0.6666666666666666,0,2,32,3,0,1
6,0,4,1,0,17,,15,20,3,8,4,3.3333333333333335,0,2,35,5,0,0
2,10,2,1,0,37,60.4,16,7,15,3,1,4.666666666666667,0,1,26,1,0,0
0,3,0,0,0,19,,23,10,6,6,3,1.0,0,1,25,3,0,0
2,3,1,0,0,0,19.5,5,7,12,9,2,2.0,0,4,30,1,0,1
1,8,5,1,0,64,,8,8,3,4,7,4.666666666666667,0,2,22,1,0,0
8,11,1,0,1,55,19.3,2,5,15,10,6,6.666666666666667,0,5,36,2,0,1
0,3,0,0,1,36,53.5,23,3,13,2,3,1.0,0,4,21,5,0,1
0,2,3,1,0,23,48.3,9,14,8,10,7,1.6666666666666667,0,1,39,3,0,0
5,10,4,0,0,65,62.4,7,17,12,8,2,6.333333333333333,0,1,39,1,0,0
0,4,1,1,0,29,,16,8,12,9,3,1.6666666666666667,0,6,32,5,0,1
5,8,2,0,0,34,,17,19,9,8,3,5.0,0,2,39,1,0,0
4,9,1,1,1,21,35.1,14,7,12,6,3,4.666666666666667,0,6,28,1,0,1
2,10,1,0,0,39,48.9,29,17,12,7,0,4.333333333333333,0,2,36,1,0,0
2,7,3,1,1,86,40.1,25,14,1,3,6,4.0,0,6,24,1,1,1
4,3,1,0,1,20,,22,10,13,2,4,2.6666666666666665,0,2,29,2,0,0
1,0,3,0,0,0,27.0,4,10,1,6,5,1.3333333333333333,0,2,22,5,0,0
6,6,5,0,0,25,31.1,26,20,1,9,2,5.666666666666667,0,2,32,3,0,0
1,3,0,0,1,14,12.1,2,12,6,8,5,1.3333333333333333,0,1,31,5,0,0
4,5,4,0,0,15,29.9,6,15,4,6,4,4.333333333333333,0,1,29,3,0,0
2,0,1,1,0,0,8.8,17,14,13,7,6,1.0,0,3,40,4,0,0
7,12,3,0,0,44,18.9,25,6,7,6,3,7.333333333333333,0,1,22,3,0,0
10,0,0,0,0,13,,28,14,12,4,2,3.3333333333333335,0,4,32,3,0,1
4,0,1,0,0,42,3.4,18,6,10,2,1,1.6666666666666667,1,1,19,1,0,0
0,4,1,0,1,62,,24,2,1,8,1,1.6666666666666667,0,3,12,1,0,0
1,0,1,0,0,22,40.1,20,14,13,10,7,0.6666666666666666,0,1,44,5,0,0
1,0,0,0,0,13,3.8,27,16,15,10,5,0.3333333333333333,1,1,46,4,0,0
2,0,2,0,0,25,2.2,5,2,4,1,5,1.3333333333333333,1,1,12,4,0,0
1,3,1,0,1,19,18.0,14,3,4,3,5,1.6666666666666667,0,4,15,5,0,1
5,0,1,0,0,26,17.0,24,20,14,10,1,2.0,0,4,45,1,0,0
2,10,2,1,0,19,34.6,29,13,4,2,5,4.666666666666667,0,4,24,3,0,0
2,5,0,0,0,18,38.1,13,5,4,5,4,2.3333333333333335,0,3,18,4,0,0
5,4,1,0,0,31,,18,1,15,1,5,3.3333333333333335,0,3,22,1,0,0
4,7,1,1,1,51,,7,15,4,8,4,4.0,0,1,31,2,0,0
0,2,2,1,1,3,49.3,22,14,1,2,6,1.3333333333333333,0,3,23,2,0,0
1,3,2,1,0,11,7.9,5,3,1,7,4,2.0,0,2,15,3,0,0
7,6,1,0,1,62,12.5,5,4,12,3,1,4.666666666666667,0,7,20,5,0,1
0,6,4,0,0,43,6.2,0,16,5,0,5,3.3333333333333335,0,2,26,2,0,0
1,9,0,0,0,45,67.1,13,20,13,9,0,3.3333333333333335,0,1,42,4,0,0
2,0,2,0,0,0,52.1,27,2,7,3,1,1.3333333333333333,0,1,13,4,0,0
2,2,0,0,0,0,48.1,23,18,13,5,2,1.3333333333333333,0,3,38,2,0,0
5,8,5,0,1,79,22.7,13,18,15,3,7,6.0,0,1,43,5,1,0
5,5,0,0,0,39,6.9,25,19,3,9,2,3.3333333333333335,0,1,33,1,0,0
4,7,1,1,0,54,27.9,0,3,15,1,3,4.0,0,2,22,3,0,0
7,6,3,1,1,71,57.1,18,14,2,7,5,5.333333333333333,0,5,28,5,1,1
2,7,0,0,1,2,22.9,27,13,9,7,0,3.0,0,1,29,3,0,1
3,8,3,0,1,46,59.6,6,17,9,1,7,4.666666666666667,0,4,34,5,0,1
0,7,1,1,0,17,,11,14,4,5,6,2.6666666666666665,0,4,29,4,0,0
3,6,2,1,1,54,62.3,30,2,12,9,3,3.6666666666666665,0,3,26,2,0,0
7,9,1,0,0,22,,8,13,0,7,1,5.666666666666667,0,2,21,3,0,0
7,8,2,0,1,17,56.2,15,9,4,7,0,5.666666666666667,0,6,20,5,0,1
3,6,4,1,0,29,24.3,23,16,12,9,6,4.333333333333333,0,1,43,1,0,0
4,5,0,0,1,16,,20,5,13,6,1,3.0,0,7,25,3,0,1
2,0,0,0,0,15,22.3,8,14,1,3,4,0.6666666666666666,0,5,22,5,0,1
8,13,1,0,1,31,61.9,6,1,3,0,2,7.333333333333333,0,6,6,5,0,1
2,4,0,0,0,19,4.2,24,13,4,1,2,2.0,1,4,20,2,0,1
2,2,4,0,0,11,56.7,18,16,0,5,4,2.6666666666666665,0,1,25,1,0,0
4,4,0,0,0,24,52.3,28,2,6,4,7,2.6666666666666665,0,1,19,1,0,0
3,2,1,0,0,16,29.3,21,20,6,2,3,2.0,0,2,31,3,0,0
0,0,0,0,0,28,42.5,12,14,11,9,0,0.0,0,3,34,3,0,0
2,3,2,0,1,21,55.4,8,0,3,3,4,2.3333333333333335,0,1,10,1,0,0
1,4,1,1,0,13,5.6,8,9,7,1,0,2.0,0,7,17,3,0,1
0,0,0,0,0,19,56.7,11,19,2,8,3,0.0,0,1,32,3,0,0
6,3,2,1,0,27,52.5,27,18,8,7,6,3.6666666666666665,0,5,39,3,0,1
4,9,2,1,0,90,45.5,10,14,13,8,3,5.0,0,1,38,3,1,1
3,6,2,1,0,30,21.3,18,17,14,0,7,3.6666666666666665,0,1,38,3,0,0
1,5,0,0,1,15,,13,2,0,4,2,2.0,0,2,8,4,0,0
4,3,2,1,0,18,66.0,20,0,15,3,2,3.0,0,4,20,3,0,0
5,3,2,1,1,51,52.4,25,17,10,1,4,3.3333333333333335,0,1,32,3,0,0
0,5,1,1,1,1,5.2,4,1,12,5,7,2.0,0,6,25,5,0,1
3,5,0,0,1,66,,11,4,6,0,3,2.6666666666666665,0,5,13,3,0,1
4,1,3,1,0,27,50.1,12,10,8,4,1,2.6666666666666665,0,3,23,3,0,0
2,3,0,0,0,55,42.2,7,12,0,8,4,1.6666666666666667,0,2,24,5,0,1
3,6,2,1,0,79,42.2,0,13,5,2,3,3.6666666666666665,0,7,23,5,1,1
2,1,3,0,1,12,,7,16,15,9,3,2.0,0,2,43,2,0,0
7,7,3,1,0,64,2.4,19,14,11,4,5,5.666666666666667,1,2,34,1,0,1
0,3,1,0,0,0,10.2,14,6,2,3,0,1.3333333333333333,0,1,11,4,0,0
5,2,1,1,0,31,12.9,9,1,6,0,4,2.6666666666666665,0,6,11,3,0,1
3,2,4,1,0,44,70.7,5,18,7,2,5,3.0,0,1,32,3,0,0
0,6,6,1,0,14,44.8,4,3,3,7,6,4.0,0,2,19,1,0,0
4,4,4,1,1,43,50.2,7,14,6,5,3,4.0,0,7,28,3,0,1
1,7,2,1,0,8,8.7,30,6,13,1,0,3.3333333333333335,0,5,20,5,0,1
0,6,0,0,0,0,,7,1,12,8,3,2.0,0,5,24,1,0,1
4,3,1,0,0,23,,17,10,15,8,7,2.6666666666666665,0,6,40,4,0,1
3,7,2,1,0,5,66.2,3,10,8,3,4,4.0,0,6,25,5,0,1
5,5,3,0,1,52,5.4,9,4,9,7,3,4.333333333333333,0,3,23,3,0,0
4,1,0,0,0,6,71.2,28,4,1,5,5,1.6666666666666667,0,2,15,4,0,0
3,6,3,0,0,37,22.9,1,0,12,0,3,4.0,0,6,15,3,0,1
3,3,2,0,0,37,61.9,9,5,0,0,5,2.6666666666666665,0,2,10,4,0,0
0,0,4,1,0,10,59.5,22,20,15,5,0,1.3333333333333333,0,1,40,4,0,0
3,3,5,0,1,88,,12,17,14,10,3,3.6666666666666665,0,1,44,5,1,0
10,8,3,1,1,43,,11,9,12,2,4,7.0,0,5,27,5,0,1
0,5,1,1,1,40,13.8,30,5,0,9,0,2.0,0,1,14,3,0,0
0,0,0,0,0,40,69.3,0,10,3,2,5,0.0,0,2,20,5,0,0
2,6,4,0,0,38,,4,2,13,8,7,4.0,0,1,30,1,0,0
4,7,1,0,1,94,33.3,21,3,4,1,7,4.0,0,2,15,3,1,1
0,2,0,0,0,2,62.2,17,14,2,1,6,0.6666666666666666,0,4,23,5,0,0
6,8,6,0,0,51,62.8,25,3,12,9,5,6.666666666666667,0,7,29,3,0,1
2,4,0,0,0,30,,4,18,12,5,6,2.0,0,1,41,1,0,0
6,6,1,1,1,54,9.6,24,17,11,0,1,4.333333333333333,0,1,29,3,0,0
4,6,3,0,0,77,70.7,8,7,8,7,0,4.333333333333333,0,6,22,5,1,1
4,6,4,1,1,29,28.0,9,12,6,10,1,4.666666666666667,0,6,29,5,0,1
4,3,2,0,1,26,66.2,29,5,2,2,6,3.0,0,6,15,5,0,1
2,2,1,1,0,0,59.4,1,5,5,9,4,1.6666666666666667,0,1,23,3,0,0
8,7,4,0,0,20,51.4,27,5,14,1,1,6.333333333333333,0,2,21,2,0,0
5,9,4,1,1,50,27.9,23,20,4,6,0,6.0,0,4,30,3,0,0
0,5,0,0,1,18,39.6,10,4,7,4,0,1.6666666666666667,0,1,15,1,0,0
2,2,3,0,0,16,23.1,30,15,3,4,6,2.3333333333333335,0,2,28,1,0,0
10,9,0,0,1,20,56.6,27,10,15,3,6,6.333333333333333,0,4,34,5,0,1
3,6,0,0,1,54,5.0,18,20,5,0,2,3.0,0,3,27,3,0,0
5,12,3,1,0,32,26.3,12,17,10,5,5,6.666666666666667,0,2,37,3,0,0
2,0,4,1,0,8,21.2,16,15,1,8,0,2.0,0,1,24,5,0,0
4,8,4,1,0,46,65.9,21,17,15,2,5,5.333333333333333,0,2,39,3,0,0
6,8,4,0,1,100,50.8,27,20,9,4,3,6.0,0,2,36,1,1,0
6,9,3,0,1,53,,1,15,6,5,1,6.0,0,3,27,5,0,1
7,7,0,0,0,21,27.7,21,14,5,5,6,4.666666666666667,0,3,30,5,0,1
3,6,0,0,1,44,19.6,27,0,1,10,7,3.0,0,5,18,5,0,1
2,6,4,1,0,44,,1,15,6,5,0,4.0,0,3,26,2,0,0
4,7,2,0,0,74,9.5,28,5,7,6,6,4.333333333333333,0,5,24,3,1,1
3,10,1,1,1,23,56.0,15,4,4,4,4,4.666666666666667,0,5,16,5,0,1
6,2,3,0,1,61,28.2,11,9,8,1,4,3.6666666666666665,0,2,22,5,0,1
1,8,5,0,1,21,2.8,19,11,11,2,0,4.666666666666667,1,4,24,1,0,1
0,3,1,0,0,42,1.5,1,8,13,4,0,1.3333333333333333,1,1,25,3,0,0
4,1,0,0,0,20,25.5,29,16,14,1,1,1.6666666666666667,0,1,32,3,0,0
6,7,0,0,0,13,11.6,7,7,4,10,4,4.333333333333333,0,4,25,3,0,1
5,6,2,0,1,42,21.7,21,4,10,1,0,4.333333333333333,0,1,15,3,0,0
2,6,3,1,1,61,55.8,7,4,11,7,4,3.6666666666666665,0,4,26,4,0,1
6,6,1,1,1,68,65.6,26,3,14,0,7,4.333333333333333,0,5,24,3,0,1
3,10,5,1,1,35,52.2,30,15,7,9,7,6.0,0,1,38,4,0,0
5,11,2,1,0,76,,26,7,13,8,5,6.0,0,6,33,1,1,1
11,9,2,1,0,58,,20,14,4,8,3,7.333333333333333,0,4,29,3,0,0
3,2,1,0,1,63,38.5,6,0,14,6,0,2.0,0,2,20,4,0,0
0,0,0,0,0,23,9.7,6,11,15,8,2,0.0,0,2,36,5,0,0
7,11,3,1,1,40,52.6,1,5,4,1,5,7.0,0,4,15,5,0,0
5,7,3,0,0,34,,24,12,13,3,7,5.0,0,3,35,3,0,0
4,4,1,0,0,21,,29,0,5,3,2,3.0,0,1,10,5,0,0
1,2,3,1,0,19,42.5,18,19,15,0,7,2.0,0,1,41,4,0,0
