total_calls,total_whatsapp_messages,total_emails,email_opened,whatsapp_replied,form_completion_percentage,response_time_hours,days_since_last_interaction,days_in_inquiry_stage,days_in_engagement_stage,days_in_application_stage,days_in_verification_stage,counselor_id,converted,days_to_convert,lead_month,lead_quarter,lead_year,lead_dayofweek,source_facebook,source_google_ads,source_referral,source_walk_in,source_website,course_interest_B.Com,course_interest_B.Tech CS,course_interest_BBA,course_interest_M.Tech,course_interest_MBA,city_Bangalore,city_Chennai,city_Delhi,city_Hyderabad,city_Mumbai,city_Pune,current_stage_admission,current_stage_application,current_stage_engagement,current_stage_enrollment,current_stage_inquiry,current_stage_payment,current_stage_verification,total_touchpoints,engagement_ratio,total_pipeline_days,is_fast_responder,is_dormant,form_tier
4,7,1,0,1,94,33.3,21,3,4,1,7,8,1,27.0,9,3,2025,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,0.07692307692307693,15,0,0,2
7,9,4,1,0,10,21.2,3,8,4,3,4,2,1,54.0,3,1,2025,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,20,0.047619047619047616,19,1,0,0
2,1,1,1,1,0,44.0,5,9,3,4,7,6,1,52.0,3,1,2024,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0.4,23,0,0,0
0,5,0,0,1,31,36.4,12,10,5,3,2,6,0,0.0,2,1,2023,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0.16666666666666666,20,0,0,0
6,7,1,0,0,37,36.4,22,18,8,0,1,8,0,0.0,12,4,2024,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,0.0,27,0,0,1
3,6,4,0,1,16,4.9,0,17,0,4,5,1,0,0.0,3,1,2024,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,0.07142857142857142,26,1,0,0
3,11,3,1,0,3,65.8,23,20,12,6,5,2,0,0.0,9,3,2023,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17,0.05555555555555555,43,0,0,0
6,4,2,0,0,77,16.1,4,12,8,8,0,4,1,54.0,7,3,2024,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,0.0,28,1,0,2
4,7,2,1,0,81,25.7,17,4,1,4,4,4,1,27.0,12,4,2023,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,0.07142857142857142,13,0,0,2
7,6,3,1,1,71,57.1,18,14,2,7,5,5,1,45.0,5,2,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,16,0.11764705882352941,28,0,0,2
2,2,2,1,1,32,14.1,12,5,15,9,3,6,0,0.0,12,4,2023,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0.2857142857142857,32,1,0,0
1,1,0,0,1,10,16.6,16,15,4,5,7,7,0,0.0,9,3,2024,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.3333333333333333,31,1,0,0
0,4,2,0,0,6,36.4,8,8,0,10,4,7,1,68.0,9,3,2025,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0.0,22,0,0,0
4,0,2,1,0,33,36.4,5,4,10,4,3,3,1,61.0,7,3,2025,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0.14285714285714285,21,0,0,0
4,3,2,0,0,8,17.8,7,9,13,3,2,9,0,0.0,9,3,2024,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0.0,27,1,0,0
3,14,3,1,1,79,59.1,10,13,3,3,0,1,1,41.0,12,4,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,20,0.09523809523809523,19,0,0,2
2,0,0,0,0,32,36.4,22,10,7,9,5,8,0,0.0,5,2,2024,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0.0,31,0,0,0
2,0,1,0,0,0,25.2,6,11,8,3,0,2,0,0.0,10,4,2025,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0.0,22,0,0,0
0,3,1,0,0,1,36.4,27,9,2,1,3,8,0,0.0,11,4,2024,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0.0,15,0,0,0
5,9,3,1,0,44,36.4,24,19,2,6,0,10,1,19.0,11,4,2023,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,17,0.05555555555555555,27,0,0,1
5,9,4,0,1,13,65.4,8,1,11,8,6,8,1,60.0,9,3,2025,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18,0.05263157894736842,26,0,0,0
2,2,0,0,1,0,38.9,22,14,13,5,7,1,0,0.0,3,1,2023,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0.2,39,0,0,0
2,4,2,1,1,32,59.1,16,10,9,3,5,8,0,0.0,6,2,2024,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0.2222222222222222,27,0,0,0
2,0,1,1,0,0,8.8,17,14,13,7,6,6,0,0.0,9,3,2025,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0.25,40,1,0,0
7,3,4,1,1,41,39.2,27,20,5,5,2,6,0,0.0,7,3,2024,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14,0.13333333333333333,32,0,0,1
2,14,4,1,1,19,49.3,21,2,15,4,6,3,0,0.0,12,4,2025,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,20,0.09523809523809523,27,0,0,0
2,0,0,0,0,46,37.7,22,14,10,7,4,9,0,0.0,9,3,2024,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0.0,35,0,0,1
6,9,0,0,0,56,36.4,19,4,2,2,0,2,1,72.0,8,3,2023,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,0.0,8,0,0,1
7,8,0,0,0,32,49.8,5,7,9,9,4,7,0,0.0,12,4,2023,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,15,0.0,29,0,0,0
2,8,1,1,1,41,15.2,9,18,14,6,0,6,0,0.0,10,4,2025,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11,0.16666666666666666,38,1,0,1
6,7,1,0,1,70,60.0,14,7,8,2,3,7,1,24.0,2,1,2025,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14,0.06666666666666667,20,0,0,2
4,7,4,0,1,60,24.7,23,4,1,7,7,3,1,54.0,2,1,2024,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15,0.0625,19,0,0,1
1,1,3,0,0,18,11.6,1,4,4,2,7,1,1,11.0,12,4,2025,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0.0,17,1,0,0
7,5,2,0,1,27,11.1,4,3,5,3,6,6,1,79.0,7,3,2023,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0.06666666666666667,17,1,0,0
2,4,2,1,1,30,29.9,10,9,1,5,3,5,0,0.0,6,2,2025,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0.2222222222222222,18,0,0,0
3,8,3,0,0,49,36.4,27,7,1,9,3,1,0,0.0,11,4,2025,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14,0.0,20,0,0,1
1,4,2,1,1,3,26.6,21,2,3,1,3,7,0,0.0,5,2,2024,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0.25,9,0,0,0
3,10,1,1,0,62,36.4,22,1,10,0,2,9,1,36.0,1,1,2025,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,0.06666666666666667,13,0,0,1
6,0,3,0,0,29,65.6,4,3,7,4,2,4,0,0.0,5,2,2025,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0.0,16,0,0,0
5,9,3,0,0,25,28.0,18,16,12,1,7,10,0,0.0,10,4,2024,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,17,0.0,36,0,0,0
4,5,1,1,0,54,52.9,28,12,8,2,7,1,1,18.0,11,4,2025,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0.09090909090909091,29,0,0,1
1,3,2,1,1,0,56.4,28,14,13,10,6,4,0,0.0,6,2,2025,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0.2857142857142857,43,0,0,0
2,4,3,1,0,48,67.5,2,16,13,7,3,2,0,0.0,6,2,2023,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0.1,39,0,0,1
2,2,0,0,0,0,36.4,27,9,14,9,3,1,0,0.0,10,4,2023,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0.0,35,0,0,0
2,6,4,1,1,46,67.2,16,20,4,5,5,8,0,0.0,3,1,2024,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,0.15384615384615385,34,0,0,1
5,4,2,1,0,42,64.5,18,10,11,8,7,8,1,12.0,11,4,2024,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,0.08333333333333333,36,0,0,1
0,3,1,0,1,0,65.0,15,16,8,2,7,4,1,73.0,11,4,2023,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0.2,33,0,0,0
6,3,2,1,1,76,17.2,7,16,11,4,4,7,0,0.0,8,3,2025,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11,0.16666666666666666,35,1,0,2
6,6,1,0,0,51,40.0,8,19,6,1,2,10,0,0.0,12,4,2024,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,13,0.0,28,0,0,1
5,5,4,1,1,66,3.5,22,20,14,0,7,7,0,0.0,3,1,2024,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14,0.13333333333333333,41,1,0,1
0,0,0,0,0,47,56.2,4,8,14,4,2,10,0,0.0,5,2,2024,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,28,0,0,1
1,8,5,1,0,64,36.4,8,8,3,4,7,6,0,0.0,10,4,2025,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,14,0.06666666666666667,22,0,0,1
6,7,1,0,1,23,36.4,19,3,10,1,7,9,1,52.0,8,3,2025,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,14,0.06666666666666667,21,0,0,0
3,4,0,0,0,5,50.1,30,2,9,0,5,8,1,71.0,2,1,2023,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0.0,16,0,1,0
3,8,1,0,1,33,36.4,25,16,5,5,5,6,0,0.0,9,3,2025,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,0.07692307692307693,31,0,0,0
2,4,1,0,0,27,51.6,19,16,3,9,6,4,0,0.0,9,3,2025,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0.0,34,0,0,0
2,4,1,1,1,16,8.0,1,10,4,3,5,6,1,76.0,11,4,2024,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0.25,22,1,0,0
3,4,0,0,0,69,52.9,10,15,7,0,5,5,0,0.0,4,2,2025,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0.0,27,0,0,2
0,6,3,1,1,39,46.6,29,7,11,4,2,2,0,0.0,11,4,2025,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,9,0.2,24,0,0,1
5,2,0,0,0,51,36.4,11,13,5,5,4,4,1,86.0,7,3,2023,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0.0,27,0,0,1
6,8,3,0,0,27,39.2,26,14,10,1,5,7,1,55.0,8,3,2023,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0.0,30,0,0,0
4,5,4,0,0,15,29.9,6,15,4,6,4,6,0,0.0,9,3,2023,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,0.0,29,0,0,0
2,10,2,1,0,6,19.2,1,9,5,4,5,2,0,0.0,1,1,2023,6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14,0.06666666666666667,23,1,0,0
5,6,2,0,1,43,32.9,9,11,10,8,5,5,1,49.0,8,3,2024,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0.07142857142857142,34,0,0,1
0,3,1,0,0,0,25.7,5,15,12,9,4,4,0,0.0,5,2,2025,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0.0,40,0,0,0
2,4,0,0,0,19,4.2,24,13,4,1,2,3,1,17.0,12,4,2024,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0.0,20,1,0,0
6,7,1,0,0,48,36.4,13,1,6,6,4,6,1,33.0,9,3,2024,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,14,0.0,17,0,0,1
3,0,3,0,0,13,28.7,5,7,15,1,6,1,0,0.0,2,1,2024,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0.0,29,0,0,0
2,13,0,0,1,83,36.4,4,8,9,6,7,2,1,21.0,10,4,2024,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,0.0625,30,0,0,2
7,10,3,1,1,55,32.6,2,13,12,10,1,9,1,15.0,6,2,2025,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,0.09523809523809523,36,0,0,1
3,4,2,0,1,0,37.4,0,2,4,6,3,2,0,0.0,2,1,2025,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0.1,15,0,0,0
9,5,2,0,1,63,36.4,0,12,2,5,2,2,1,62.0,11,4,2024,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0.058823529411764705,21,0,0,1
0,0,3,0,0,28,11.0,28,13,1,10,7,5,1,32.0,4,2,2024,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0.0,31,1,0,0
0,5,0,0,0,33,36.4,22,0,10,8,5,2,0,0.0,7,3,2025,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0.0,23,0,0,0
0,2,0,0,0,0,36.4,30,4,12,7,6,1,0,0.0,1,1,2023,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0.0,29,0,1,0
2,5,1,0,1,9,36.4,23,11,10,10,4,3,0,0.0,8,3,2024,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0.1111111111111111,35,0,0,0
7,9,3,0,0,52,20.8,22,12,1,8,4,10,1,47.0,5,2,2025,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19,0.0,25,1,0,1
3,9,3,0,0,91,36.4,11,12,9,3,5,7,1,41.0,1,1,2023,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,0.0,29,0,0,2
4,12,3,1,0,20,15.0,11,19,3,3,3,7,0,0.0,1,1,2023,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19,0.05,28,1,0,0
2,6,0,0,1,32,36.4,28,9,14,10,2,2,0,0.0,10,4,2024,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0.1111111111111111,35,0,0,0
3,3,0,0,0,12,57.2,15,7,10,4,6,3,1,50.0,1,1,2025,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0.0,27,0,0,0
2,2,0,0,0,7,49.7,12,12,5,3,6,2,0,0.0,6,2,2023,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0.0,26,0,0,0
3,4,2,1,0,56,49.6,18,1,11,7,0,8,1,8.0,2,1,2025,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0.1,19,0,0,1
0,0,0,0,0,3,19.6,7,19,1,3,2,4,0,0.0,8,3,2025,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,25,1,0,0
0,1,2,0,1,52,40.1,8,12,14,8,7,9,1,88.0,1,1,2025,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0.25,41,0,0,1
2,0,0,0,0,0,57.6,6,8,8,9,2,1,1,21.0,2,1,2023,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0.0,27,0,0,0
0,0,0,0,0,12,36.4,19,18,0,5,4,1,0,0.0,6,2,2023,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,27,0,0,0
2,9,1,1,1,43,59.7,16,6,7,1,2,5,1,12.0,7,3,2023,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0.15384615384615385,16,0,0,1
4,8,1,0,0,36,11.0,17,4,13,6,2,10,0,0.0,5,2,2025,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,13,0.0,25,1,0,1
1,0,0,0,0,55,51.0,20,20,1,2,0,1,0,0.0,4,2,2025,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0,23,0,0,1
5,4,2,0,1,59,17.6,12,19,0,7,5,4,1,23.0,11,4,2023,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,0.08333333333333333,31,1,0,1
4,9,3,1,1,48,51.6,27,12,6,5,5,7,1,7.0,9,3,2023,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16,0.11764705882352941,28,0,0,1
2,5,0,0,0,29,64.9,12,0,11,6,4,7,0,0.0,8,3,2023,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0.0,21,0,0,0
8,8,1,1,1,7,55.9,24,7,15,7,4,8,0,0.0,3,1,2025,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17,0.1111111111111111,33,0,0,0
0,6,2,1,0,48,36.4,0,7,8,5,3,3,1,24.0,1,1,2025,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0.1111111111111111,23,0,0,1
2,0,2,1,0,42,25.6,2,9,9,0,4,5,0,0.0,6,2,2023,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0.2,22,0,0,1
2,2,1,1,0,0,36.4,22,11,2,1,5,6,0,0.0,10,4,2025,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0.16666666666666666,19,0,0,0
2,0,1,1,0,13,36.4,9,14,9,3,3,4,0,0.0,7,3,2024,6,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0.25,29,0,0,0
0,0,1,0,0,42,3.8,24,14,8,5,4,9,0,0.0,4,2,2024,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,31,1,0,1
3,0,0,0,0,11,16.2,10,15,1,7,4,8,0,0.0,6,2,2024,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0.0,27,1,0,0
3,3,0,0,1,15,66.0,30,20,0,4,4,10,1,54.0,10,4,2025,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0.14285714285714285,28,0,1,0
3,0,2,1,0,70,36.4,1,4,11,0,5,3,0,0.0,12,4,2024,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0.16666666666666666,20,0,0,2
5,2,2,1,0,37,35.2,21,19,5,3,5,7,0,0.0,6,2,2023,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0.1,32,0,0,1
6,5,0,0,0,64,42.5,24,5,15,4,4,10,0,0.0,5,2,2024,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,0.0,28,0,0,1
1,0,0,0,0,16,35.1,7,13,8,8,1,8,0,0.0,4,2,2023,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,30,0,0,0
1,4,2,1,0,22,68.9,14,6,4,7,7,5,1,65.0,5,2,2024,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0.125,24,0,0,0
6,5,1,0,0,46,36.4,19,12,13,2,7,8,1,21.0,1,1,2023,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12,0.0,34,0,0,1
3,5,2,0,0,24,35.1,10,6,12,6,4,4,1,44.0,6,2,2024,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0.0,28,0,0,0
8,14,2,1,0,93,66.2,4,11,1,2,2,4,1,77.0,8,3,2023,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,24,0.04,16,0,0,2
0,4,0,0,0,24,40.3,21,19,6,10,0,10,0,0.0,7,3,2023,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0.0,35,0,0,0
4,6,0,0,0,40,36.4,8,8,12,9,2,2,1,37.0,4,2,2023,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0.0,31,0,0,1
3,7,1,0,0,20,36.4,30,17,2,2,5,1,0,0.0,1,1,2023,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,0.0,26,0,1,0
3,0,2,0,0,15,7.4,12,4,13,5,3,10,0,0.0,2,1,2024,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0.0,25,1,0,0
5,9,0,0,1,7,9.0,17,2,1,3,2,10,1,28.0,7,3,2024,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,14,0.06666666666666667,8,1,0,0
1,2,3,0,1,30,34.7,17,10,11,8,4,10,0,0.0,1,1,2023,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0.14285714285714285,33,0,0,0
7,6,1,0,1,67,45.1,12,19,9,3,7,8,0,0.0,5,2,2025,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14,0.06666666666666667,38,0,0,2
